23990483	WBHomeEnt	CA	58748818	zach_roerig	
23990483	WBHomeEnt	CA	87318558	AADaddario	
23990483	WBHomeEnt	CA	122805750	carlagugino	
23990483	WBHomeEnt	CA	123585931	alextorrr	
23990483	WBHomeEnt	CA	1939017829	mkmalarkey	
23990483	WBHomeEnt	CA	24574039	ErnestoRiley	
23990483	WBHomeEnt	CA	449349346	BradBirdA113	CA
23990483	WBHomeEnt	CA	369206130	SarahSoWitty	CA
23990483	WBHomeEnt	CA	30282704	Mark_Sheppard	
23990483	WBHomeEnt	CA	59703952	OsricChau	
23990483	WBHomeEnt	CA	116838461	RuthieConnell	CA
23990483	WBHomeEnt	CA	933128688	curtisisbooger	
23990483	WBHomeEnt	CA	382218838	TheJimMichaels	
20922781	StevieKrug	CO	1623606978	KKCDallas	
20922781	StevieKrug	CO	3415305573	brock_mckinsey	
20922781	StevieKrug	CO	2290146017	cjfwifey	
20922781	StevieKrug	CO	224353486	philleenmeskin	
20922781	StevieKrug	CO	2237989560	msanford52	
20922781	StevieKrug	CO	27797892	ThomasETrue	CA
20922781	StevieKrug	CO	269376134	gerald_turpin	CA
20922781	StevieKrug	CO	329983787	NealAtkin	
20922781	StevieKrug	CO	88319005	QuixoticMoose	
20922781	StevieKrug	CO	159910925	JohnnieFzWalker	
20922781	StevieKrug	CO	511328324	flyingthumbs	
20922781	StevieKrug	CO	2908576324	boyerhome	
20922781	StevieKrug	CO	505195537	AlanFuhrman	
20922781	StevieKrug	CO	24037501	tripperscott	
20922781	StevieKrug	CO	182531204	davidvoda	CA
20922781	StevieKrug	CO	18203697	janeengle	
20922781	StevieKrug	CO	448550404	psubeav	
20922781	StevieKrug	CO	618351716	KariHicks3	
20922781	StevieKrug	CO	328275678	1Geist	
20922781	StevieKrug	CO	245223402	LoriKallenberg	NY
20922781	StevieKrug	CO	179688231	Bruce_Mims	AZ
20922781	StevieKrug	CO	25031897	julianjules	
20922781	StevieKrug	CO	22461427	alyankovic	
20922781	StevieKrug	CO	783214		twitter		CA
20922781	StevieKrug	CO	19087330	navyslang	
20922781	StevieKrug	CO	17758656	yensid98	CA
20922781	StevieKrug	CO	19029137	BrentSpiner	CA
20922781	StevieKrug	CO	14735100	attebury	OR
20922781	StevieKrug	CO	36933993	kfuhrman83	PA
20922781	StevieKrug	CO	18909480	lojoz	
20922781	StevieKrug	CO	15786137	harajukuroxy	
20922781	StevieKrug	CO	19660686	BridyDesigns	NY
20922781	StevieKrug	CO	16397742	CorvidCastle	
35928335	kdivas		CA	39610775	DorelBaca	CA
35928335	kdivas		CA	174527570	fionazwieb	FL
35928335	kdivas		CA	40965813	Rachel_Noelle	
35928335	kdivas		CA	35255090	KawanPrather	
35928335	kdivas		CA	122216533	NikkiSixx	
35928335	kdivas		CA	43003845	paramore	TN
35928335	kdivas		CA	23561980	kendricklamar	
35928335	kdivas		CA	25879140	aloeblacc	
35928335	kdivas		CA	529645563	flytetymejam	
35928335	kdivas		CA	1319921		rascalflatts	TN
35928335	kdivas		CA	248858352	GlenBallard	CA
35928335	kdivas		CA	20293092	fauntleroy	
35928335	kdivas		CA	155705264	Zedd		LA
35928335	kdivas		CA	207923746	Timbaland	
35928335	kdivas		CA	33446119	TLSOUNDOFF	
35928335	kdivas		CA	98759752	UrsVerse	 
35928335	kdivas		CA	21547627	rachelassil	
35928335	kdivas		CA	145806439	BabyGMusic	
35928335	kdivas		CA	26171234	LundonKnighten	
35928335	kdivas		CA	233814639	RnB_Live	CA
35928335	kdivas		CA	568851996	ItsTamaraPowell	
35928335	kdivas		CA	17499296	AFTRA	
35928335	kdivas		CA	96846955	IAmSteveHarvey	
35928335	kdivas		CA	47905488	HamiltonAntho	NY	
35928335	kdivas		CA	506378832	PKtheProducer	
35928335	kdivas		CA	16319940	livioharris	CA
36724724	livinginburbank	CA	107667402	mytwitvance	
36724724	livinginburbank	CA	66512200	nghype	Germa	NY
36724724	livinginburbank	CA	16540406	djsamhouse	
36724724	livinginburbank	CA	22189786	MusiciansPage	CA 
36724724	livinginburbank	CA	103877455	crunchdot	
36724724	livinginburbank	CA	101551424	EgyptianKey	CA
36724724	livinginburbank	CA	21658477	bigguy4		MI
36724724	livinginburbank	CA	71272705	jobs_web_design	CA
36724724	livinginburbank	CA	27503114	WindPowerSystem	
36724724	livinginburbank	CA	25095050	MargaretMcElroy	WA
36724724	livinginburbank	CA	18914991	sevgotbeats	
36724724	livinginburbank	CA	19386359	To		NY
36724724	livinginburbank	CA	23976650	zerolover	CA
36724724	livinginburbank	CA	90941240	editornewswire	
36724724	livinginburbank	CA	57977654	trumpglobal	
36724724	livinginburbank	CA	17684681	AprilMac	CA
36724724	livinginburbank	CA	114799423	EquityOTC	
36724724	livinginburbank	CA	17227214	reelseo	
36724724	livinginburbank	CA	16257048	WEGOTHISCOVERED	CA
36724724	livinginburbank	CA	109104844	ShoppingApple	
36724724	livinginburbank	CA	25516317	standardhwood	CA
36724724	livinginburbank	CA	96243124	AFlirtYourself	
36724724	livinginburbank	CA	16690453	karenabbate	NY
36724724	livinginburbank	CA	72605151	xpatcost	
36724724	livinginburbank	CA	16069206	joe_hollywood	
36724724	livinginburbank	CA	130081723	WetwaterLA	CA
36724724	livinginburbank	CA	90983134	DailyPoolTips	PA
36724724	livinginburbank	CA	63405566	Passport66	CA
36724724	livinginburbank	CA	109539183	eCashStats	AZ
36724724	livinginburbank	CA	48472573	followup101	
36724724	livinginburbank	CA	32756207	JeremySaville	CA
36724724	livinginburbank	CA	37391190	AxelKoster	
36724724	livinginburbank	CA	11434502	andrewdaum	TX
36724724	livinginburbank	CA	119108963	Blazestrong	IL
36724724	livinginburbank	CA	46526663	LovexAmelia	GA
36724724	livinginburbank	CA	17884338	JodyUnderhill	
36724724	livinginburbank	CA	63920134	shortsalecourse	
36724724	livinginburbank	CA	132038125	uniquebuttaphly	
36724724	livinginburbank	CA	138841327	The_Dickenz	
36724724	livinginburbank	CA	14511995	7rex	
36724724	livinginburbank	CA	40100158	hieuiee	
36724724	livinginburbank	CA	136425452	mara1Eip	
36724724	livinginburbank	CA	55607316	AboutHeroes	KY
36724724	livinginburbank	CA	17259678	nztv	
36724724	livinginburbank	CA	78815858	rockmagic14	NY
36724724	livinginburbank	CA	69895721	BmxkingsBikes	
36724724	livinginburbank	CA	36922203	Vaghei	
36724724	livinginburbank	CA	46108625	DigitalLeader	
36724724	livinginburbank	CA	15870058	NotableCA	 
36724724	livinginburbank	CA	111696574	ReicheOma	
36724724	livinginburbank	CA	14240046	mikexcore	
36724724	livinginburbank	CA	119163227	StockPromotions	
36724724	livinginburbank	CA	95969899	KarateKidMovie	
36724724	livinginburbank	CA	29951351	bpuckett2	
36724724	livinginburbank	CA	82684087	ZazZyu	
36724724	livinginburbank	CA	19600652	Acoustics101	VA 
36724724	livinginburbank	CA	131022374	BlackBoxAdvisor	
36724724	livinginburbank	CA	17302075	brettclothier	TN
36724724	livinginburbank	CA	20326676	ThinkingCoach	IN
36724724	livinginburbank	CA	108945571	KingValleyAust	
36724724	livinginburbank	CA	122974749	mom22cutekids	
36724724	livinginburbank	CA	115609479	IMG4U	
36724724	livinginburbank	CA	30054059	normbond	 
36724724	livinginburbank	CA	36845747	CyanPages	
36724724	livinginburbank	CA	134159565	arkom_boston	
36724724	livinginburbank	CA	132385628	iamtoptoday	
36724724	livinginburbank	CA	137371313	matystaty10	
36724724	livinginburbank	CA	17581008	FollowMe_RnBE	NY 
36724724	livinginburbank	CA	105885069	MemoryRamp	
36724724	livinginburbank	CA	126413239	HotStockProfits	NY
36724724	livinginburbank	CA	133693579	ppcgb	
36724724	livinginburbank	CA	87452198	live4Liverpool	
36724724	livinginburbank	CA	23126093	kmarthome	IL
36724724	livinginburbank	CA	73846568	Sesarhmh	
36724724	livinginburbank	CA	85029738	AscendingStocks	NY
36724724	livinginburbank	CA	14865439	RoadWarriorsUSA	
36724724	livinginburbank	CA	103874854	StockProfitz	NY
36724724	livinginburbank	CA	104076047	smmexpertseo	
36724724	livinginburbank	CA	79402903	hemyindiesoul	
64250735	organicconnect	TX	33564465	Niq728		PA
64250735	organicconnect	TX	1859943450	charlesampong22	
64250735	organicconnect	TX	15453338	Kash_GP	
64250735	organicconnect	TX	244058554	meizatianty	
64250735	organicconnect	TX	37201485	KC_Dubya	
64250735	organicconnect	TX	15105671	cmva		NY
64250735	organicconnect	TX	316044311	ElementalImpact	GA
64250735	organicconnect	TX	210725822	lpariscomcastne	NJ
64250735	organicconnect	TX	45634159	ajamaya		CA
64250735	organicconnect	TX	220706464	lrverknit	
64250735	organicconnect	TX	172748255	Mimisdarlings	MA
64250735	organicconnect	TX	20210607	beardfistmcfist	
64250735	organicconnect	TX	345349516	ENKHBAATARG	
64250735	organicconnect	TX	291490081	myglobalpac	
64250735	organicconnect	TX	333748830	mercybasin	
64250735	organicconnect	TX	51379645	thenderson67	
64250735	organicconnect	TX	19469067	WisconsinKim	
64250735	organicconnect	TX	87621141	anjelakitten	LA
64250735	organicconnect	TX	97686472	ivanzuky	
64250735	organicconnect	TX	47139543	kujokublai	NY
64250735	organicconnect	TX	1134672060	Ber	
64250735	organicconnect	TX	186129035	Bella1V		IL
64250735	organicconnect	TX	123309717	MsMokasen	NY
64250735	organicconnect	TX	15738456	Gran2Dausha	AL
64250735	organicconnect	TX	18828675	paperculture	CA
64250735	organicconnect	TX	42743957	tarantinoel	KS
64250735	organicconnect	TX	278352684	EcoWiseman	WA
64250735	organicconnect	TX	45663323	USDA_NRCS	DC
64250735	organicconnect	TX	239169701	LMJ125	
64250735	organicconnect	TX	1136164572	MexiTinn	MI
64250735	organicconnect	TX	632935005	StartrelleDsign	CA
64250735	organicconnect	TX	1543242104	ImamaeVer86	
64250735	organicconnect	TX	20118192	kristinenglish	CA
49746303	HIGHWIREDAZE	CA	16504153	paniccitymusic	CA
49746303	HIGHWIREDAZE	CA	2901773941	studiopetro	
49746303	HIGHWIREDAZE	CA	3000116440	kingsharemband	NY
49746303	HIGHWIREDAZE	CA	3307098846	WeAreBKS	CA
49746303	HIGHWIREDAZE	CA	452662930	joeschaef	CA
49746303	HIGHWIREDAZE	CA	138295022	OliviaSomerlyn	
49746303	HIGHWIREDAZE	CA	289969718	LindseyStirling	CA
49746303	HIGHWIREDAZE	CA	390312250	SimonDaniels4	
49746303	HIGHWIREDAZE	CA	3013726315	hellebrus	CO
49746303	HIGHWIREDAZE	CA	311270509	TheBulletBoys	
49746303	HIGHWIREDAZE	CA	2971544125	movementsbandca	CA
49746303	HIGHWIREDAZE	CA	180203868	YandTRocks	CA
49746303	HIGHWIREDAZE	CA	29532412	JunkyardBlooze	
49746303	HIGHWIREDAZE	CA	18020081	JohnKasich	OH
49746303	HIGHWIREDAZE	CA	2977112512	OWTOUpdate	
49746303	HIGHWIREDAZE	CA	78672966	oceansatealaska	
49746303	HIGHWIREDAZE	CA	34848331	gilbyclarke	CA
49746303	HIGHWIREDAZE	CA	219374073	bettymoonmusic	CA
49746303	HIGHWIREDAZE	CA	46909910	ExtremeBand	MA
49746303	HIGHWIREDAZE	CA	381232503	nunobettencourt	
49746303	HIGHWIREDAZE	CA	720158504	Shatteredsun	TX 
49746303	HIGHWIREDAZE	CA	2383751126	RikisRacPac	
20255162	wbpictures	CA	509531549	TopherGrace	
20255162	wbpictures	CA	136361303	voguemagazine	NY
20255162	wbpictures	CA	20177423	ELLEmagazine	
20255162	wbpictures	CA	14934818	InStyle	NY, 	NY
20255162	wbpictures	CA	19247844	glamourmag	
20255162	wbpictures	CA	19074134	marieclaire	NY
20255162	wbpictures	CA	783214		twitter		CA
20255162	wbpictures	CA	3678453193	laurenkesposito	
20255162	wbpictures	CA	25589776	people	
20255162	wbpictures	CA	57385263	natandalex	NY
20255162	wbpictures	CA	7997092		ZackPearlman	MI
20255162	wbpictures	CA	1183541408	PopularPugs	
20255162	wbpictures	CA	3687721995	RealGDT	
20255162	wbpictures	CA	22268649	coulter28	
20255162	wbpictures	CA	1536791610	POTUS		DC
20255162	wbpictures	CA	1431301		jhoffman	NY
20255162	wbpictures	CA	48048888	jeffskoll	CA
20255162	wbpictures	CA	1576799316	dominicflores40	
20255162	wbpictures	CA	155993989	ReynaldoAndres	CA
20255162	wbpictures	CA	190391928	scootmcnairy	
20255162	wbpictures	CA	610566084	zoeinthecities	
20255162	wbpictures	CA	21544620	ImFairyPrincess	
20255162	wbpictures	CA	17031030	themjeans	
20255162	wbpictures	CA	557379987	emrata	
20255162	wbpictures	CA	390735738	TheManFromUNCLE	
20255162	wbpictures	CA	3298933854	the33film	
20255162	wbpictures	CA	480634600	AidanTurner	
20255162	wbpictures	CA	26259480	MensFitness	NY
20255162	wbpictures	CA	3278809183	SuicideSquadWB	
85185402	myso		CA	31062956	aketzaly_lozano	NM
85185402	myso		CA	18630197	WaseemMirza	 
85185402	myso		CA	65106699	biggestfanever	
85185402	myso		CA	125331429	OTCSTOCKEXPRESS	
85185402	myso		CA	46633832	CareerTool	
85185402	myso		CA	22189786	MusiciansPage	CA 
85185402	myso		CA	18771312	CofCJoni	
85185402	myso		CA	57586856	Motive8Media	
85185402	myso		CA	50534198	specialtal	
85185402	myso		CA	67010977	NMbiz	
85185402	myso		CA	105676342	wedding_shoppe	
85185402	myso		CA	92749252	myvaplace	
85185402	myso		CA	36150678	weddzilla	
85185402	myso		CA	151164418	BadManRecordsuk	
85185402	myso		CA	69723684	iUEBO		CA
85185402	myso		CA	63387228	GreenCon24	
85185402	myso		CA	51446354	chessqueen	MI
85185402	myso		CA	130522927	msspringbreak	MS
85185402	myso		CA	148914864	Pen		NY	
85185402	myso		CA	20118774	Flipbooks	 
85185402	myso		CA	55413995	chesspics	
85185402	myso		CA	94420015	Wise_Team	TX
85185402	myso		CA	133017008	technorious	
85185402	myso		CA	29300696	Kagiman	Katy
85185402	myso		CA	166520890	NoMoreDebtWorry	CA
85185402	myso		CA	115686164	StockParty	NY
85185402	myso		CA	75567037	TooNiceStocks	NY
85185402	myso		CA	139152266	KarlPavelski	
85185402	myso		CA	77039758	chessking	FL
85185402	myso		CA	87290751	IMwithTo	NY	
85185402	myso		CA	54176793	selfmillionaer	NY
85185402	myso		CA	83189838	TheSavalots	
85185402	myso		CA	28441592	PorterGroup	
85185402	myso		CA	109190226	imniche	
85185402	myso		CA	130500436	AppQuotes	
85185402	myso		CA	110164514	inetmarketerman	
85185402	myso		CA	110543527	affiliateopts	NY
85185402	myso		CA	109169111	homemadewealth	
85185402	myso		CA	109024996	webprofitplans	
85185402	myso		CA	109820053	TheBestReviewer	
85185402	myso		CA	110810263	myday2010	
85185402	myso		CA	110114937	dogoodgvotools	
85185402	myso		CA	110818726	nigelmakesmoney	
85185402	myso		CA	110088998	retireusnow	
85185402	myso		CA	108415950	imbestdeal	CA
85185402	myso		CA	109125338	WealthMethods	
85185402	myso		CA	89276254	twitrevenue	
85185402	myso		CA	108713461	thecovenanter	
85185402	myso		CA	105224658	IncomeSteady	
85185402	myso		CA	99655032	MarketersWorld	
85185402	myso		CA	108427629	GoGreenWithGary	MI
85185402	myso		CA	109315020	insanecash2010	IL
85185402	myso		CA	110712488	internetmaveric	
85185402	myso		CA	107717786	SmartMoneyAds	
85185402	myso		CA	109280315	tviexpress10	
85185402	myso		CA	110662648	imarketingviews	
85185402	myso		CA	16388972	SharonHayes	CA
85185402	myso		CA	110649484	DigDigital	
85185402	myso		CA	108965929	emailmarketcash	OH
85185402	myso		CA	110009052	LocalDirectory_	
85185402	myso		CA	109977963	teamworldprofit	
85185402	myso		CA	109466123	WebAdTutor	
85185402	myso		CA	44233791	Iaintastar	
85185402	myso		CA	112926701	iloveiipm	
85185402	myso		CA	111120412	BrandStarAgency	FL
85185402	myso		CA	46817877	BubblesBodywear	FL
85185402	myso		CA	105926317	CFGCanada	
85185402	myso		CA	111831817	arindamfanclub	
85185402	myso		CA	14950987	markjoyner	CA
85185402	myso		CA	63223404	FORTISwatches	
85185402	myso		CA	40834740	dubai_offers	
85185402	myso		CA	25177100	EternityNews	
85185402	myso		CA	52523826	BellesEscorts	
85185402	myso		CA	38139562	JohnBMazur	
85185402	myso		CA	16033093	bobenton	
20641995	MarioLopezExtra	CA	22685200	kingsthings	CA
20641995	MarioLopezExtra	CA	3737791874	DesiredScents	VA
20641995	MarioLopezExtra	CA	26691053	ROCKSTARSENT	
14144817	Ladycates	CA	49663422	MeghanKEdmonds	
14144817	Ladycates	CA	31583155	TamraBarney	CA
14144817	Ladycates	CA	27588709	vgunvalson	CA
14144817	Ladycates	CA	52708956	Cindyluellis	
14144817	Ladycates	CA	34418203	Robin_McGraw	CA
14144817	Ladycates	CA	517731072	TThomasKemp	IN
14144817	Ladycates	CA	25073986	KimberlySBelle	
14144817	Ladycates	CA	63623549	Brenda_Novak	
14144817	Ladycates	CA	19708503	JasonMott	NC
14144817	Ladycates	CA	1167504919	MaryKubica	IL
14144817	Ladycates	CA	400979427	writershona	AZ
14144817	Ladycates	CA	17349514	PamJenoff	PA
14144817	Ladycates	CA	21446198	thrillerchick	TX
14144817	Ladycates	CA	15223444	susanwiggs	
14144817	Ladycates	CA	2282770158	ShannonBeador	
14144817	Ladycates	CA	3303293865	Caitlyn_Jenner	
14144817	Ladycates	CA	276108762	MainStreetBeats	
14144817	Ladycates	CA	27949006	Rmeyer08	CA
14144817	Ladycates	CA	266921522	DowntownBUR	CA
14144817	Ladycates	CA	354589296	burbankmom	CA
14144817	Ladycates	CA	2282655512	ChatsworthBB	CA
14144817	Ladycates	CA	243442402	amandabynes	
14144817	Ladycates	CA	216348190	KailLowry	
14144817	Ladycates	CA	14090017	Causecast	CA
14144817	Ladycates	CA	154622017	lachjaw		CA
14144817	Ladycates	CA	21116962	joemachi	
14144817	Ladycates	CA	277108277	VinceSamperio	CA
14144817	Ladycates	CA	210034713	RodManComedy	NY
14144817	Ladycates	CA	36108355	SpyDaVrblz	
14144817	Ladycates	CA	1730308896	BasebaIIVines	
14144817	Ladycates	CA	19539377	TheSportsDude	CA
14144817	Ladycates	CA	2517117270	HiddenCash	CA
14144817	Ladycates	CA	2370079741	JourneyOIJ	CA
14144817	Ladycates	CA	241544156	Cut4	
14144817	Ladycates	CA	83970687	brownbirdmusic	RI
14144817	Ladycates	CA	285641117	DodgersBeat	
14144817	Ladycates	CA	446539807	AJEllis17	
14144817	Ladycates	CA	146249884	JennifersWayJE	NY
14144817	Ladycates	CA	75916180	Imaginedragons	NV
14144817	Ladycates	CA	727184677	TheBridgeFX	
14144817	Ladycates	CA	159852658	TravisStorkMD	
14144817	Ladycates	CA	27339792	mollyorangette	
14144817	Ladycates	CA	572325732	DodgerInsider	
14144817	Ladycates	CA	481465758	FluNearYou	MA
14144817	Ladycates	CA	19104915	camelbackranch	AZ
14144817	Ladycates	CA	310463188	RondaRousey	CA
14144817	Ladycates	CA	26102955	atchek	
14144817	Ladycates	CA	283830242	reneegraziano	
14144817	Ladycates	CA	43803786	GretchenRossi	
14144817	Ladycates	CA	283895895	LAScanner	 
14144817	Ladycates	CA	16228398	mcuban	
14144817	Ladycates	CA	44163738	ralphmacchio	NY
14144817	Ladycates	CA	861852626	JoeCarroll	
14144817	Ladycates	CA	5971922		BoingBoing	
14144817	Ladycates	CA	36771787	GadiNBCLA	
14144817	Ladycates	CA	154216795	travisbrowneMMA	CA
14144817	Ladycates	CA	808138		deaudude	
14144817	Ladycates	CA	2233154425	StephenKing	
14144817	Ladycates	CA	14380001	ellenbritt	GA
14144817	Ladycates	CA	249346453	puddinstrip	
14144817	Ladycates	CA	229973724	tommyperez20	CA
14144817	Ladycates	CA	417224567	gabekapler	
14144817	Ladycates	CA	288399711	joperesie	CA
14144817	Ladycates	CA	19551338	mch2k	
14144817	Ladycates	CA	34057577	BrookeNOwensMom	CA
14144817	Ladycates	CA	1713682262	JBHSBBPlayers	CA
14144817	Ladycates	CA	1729669597	myBurbankNights	
14144817	Ladycates	CA	32959253	khloekardashian	
14144817	Ladycates	CA	18216186	kirkfox	 
14144817	Ladycates	CA	255858570	HanleyRamirez	
14144817	Ladycates	CA	781206247	myBurbankSports	CA
14144817	Ladycates	CA	1831601005	bbkid42	
14144817	Ladycates	CA	437229519	RNolasco47	MI
14144817	Ladycates	CA	42500897	salemredsox	VA
14144817	Ladycates	CA	1135675872	MiLBPromos	
14144817	Ladycates	CA	1053754759	shawnabacquet	
14144817	Ladycates	CA	1618838168	BBKid24	
14144817	Ladycates	CA	29425265	dancleary79	
14144817	Ladycates	CA	48126072	JetHawks	CA
14144817	Ladycates	CA	1491330559	YasielPuig	 
14144817	Ladycates	CA	373180628	VinScullyTweet	CA
14144817	Ladycates	CA	234467579	MLBJesus	NY
