30015494	2714163118	Tacoma, WA	
6333502	5634496124	Seattle, WA	
37266564	2591052878	Snohomish, WA	
22586503	5622237397	Seattle, WA	
28616046	5758872739	Seattle, WA	
41985394	5516212940	Longview, WA	
21538391	1236626242	Seattle, WA	
71659802	5902533759	Bellevue, WA	
22587089	5323521911	Seattle, WA	
8955702	5204008711	Seattle, WA	
21931877	5800113968	Everett, WA	
17213357	5598759080	Seattle, WA	
75671477	4133287925	Vancouver, WA	
16033856	5423735624	Tacoma, WA	
14723176	5819687235	Seattle, WA	
50753911	6117225598	Seattle, WA	
15117075	5971994234	Seattle, WA	
27306959	2223283708	Seattle, WA	
33124913	5986642730	Seattle, WA	
14986643	5437527537	Seattle, WA	
32681541	5800285949	Seattle, WA	
7515742	3376528843	Seattle, WA	
38127549	5864727502	Seattle, WA	
21016176	5817686436	Seattle, WA	
31239833	1870747032	Spokane, WA	
14534606	5952898431	Redmond, WA	
14556477	5501616170	Gig Harbor, WA	
22327362	5873687401	Seattle, WA	
22982869	1323272095	Seattle, WA	
22993801	4801271274	Tacoma, WA	
18395385	6244573083	Seattle, WA	
14463232	6053894700	Redmond, WA	
18248457	5486160763	Vancouver, WA	
15714410	5624080584	Spokane, WA	
45733	5932487011	Seattle, WA	
65712930	3332379202	Seattle, WA	
18920480	1741464591	Seattle, WA	
41448288	5829759781	Seattle, WA	
17610027	5660747970	Seattle, WA	
80917910	5550988241	Seattle, WA	
11580962	6356785622	Seattle, WA	
26392186	6130944481	Spokane, WA	
12629682	5580513794	Seattle, WA	
16037680	5958602254	Olympia, WA	
79313634	5909435588	Seattle, WA	
52213935	3333600467	Seattle, WA	
16693562	5656312817	Seattle, WA	
3040621	5698504204	Redmond, WA	
54049218	6002078833	Seattle, WA	
37796571	2675204681	Vancouver, WA	
17349603	3720217852	Seattle, WA	
74759156	6247176168	Spokane, WA	
21350923	5652115564	Seattle, WA	
45005988	5465419003	Spokane, WA	
24034570	5630869898	Redmond, WA	
5029141	5574984269	Renton, WA	
25083223	6419496710	Seattle, WA	
18922887	6085568678	Seattle, WA	
19316312	5455332323	Seattle, WA	
14073450	6184225459	Lacey, WA	
14860023	5423785481	Seattle, WA	
50904865	5603031596	Centralia, WA	
19841029	6092667709	Bellevue, WA	
1097851	5077812170	Bellingham, WA	
49583	5277934684	Seattle, WA	
1098331	6002049748	Seattle, WA	
29934453	5074553978	Bellevue, WA	
61808826	5609355798	Renton, WA	
17220817	5429144972	Seattle, WA	
15137838	5641075491	Vancouver, WA	
15386108	4378742659	Seattle, WA	
71112822	4083977472	Seattle, WA	
19056334	5208230258	Seattle, WA	
10931152	5838728596	Seattle, WA	
48809952	6158686797	Seattle, WA	
40290512	5756734999	Seattle, WA	
17222069	5095307901	Seattle, WA	
16697890	5602212119	Bremerton, WA	
17353481	5831828310	Seattle, WA	
5819152	5217534725	Seattle, WA	
41601912	6171335689	Kent, WA	
25217965	4994896488	Bellevue, WA	
756278	5486427581	Seattle, WA	
28626037	5467486859	Seattle, WA	
15781281	5240553616	Seattle, WA	
7720212	5027575719	Seattle, WA	
14404914	6035436989	Seattle, WA	
16174915	5535995021	Seattle, WA	
57418426	5524749570	Seattle, WA	
14209183	5817581565	Bremerton, WA	
12767492	5542156921	Seattle, WA	
21025198	5832624520	Redmond, WA	
15258060	5395262077	Seattle, WA	
20183333	5431625940	Seattle, WA	
14078808	5512797953	Tacoma, WA	
17550837	5991158387	Olympia, WA	
14078999	5659217660	Tacoma, WA	
14734363	4347015063	Seattle, WA	
76076278	5821541921	Tacoma, WA	
18666844	6037887638	Redmond, WA	
21919982	5957946076	Seattle, WA	
16831990	5443000052	Redmond, WA	
16832672	4564872681	Redmond, WA	
5167461	5494991915	Gig Harbor, WA	
17819770	5299448654	Seattle, WA	
16439811	5989103017	Seattle, WA	
12723292	5313507607	Seattle, WA	
10058162	5269849177	Seattle, WA	
16439892	5464268873	Seattle, WA	
8182392	5789560891	Seattle, WA	
33432698	5302561568	Lakewood, WA	
59693791	5376111798	Bellingham, WA	
16833304	1105013708	Seattle, WA	
68344653	6192520963	Seattle, WA	
20634930	5511460830	Seattle, WA	
83808142	5832642628	Spokane, WA	
16440928	4085583610	Bellevue, WA	
24829732	5660920722	Bellevue, WA	
14737294	5883733376	Bellingham, WA	
14344131	6014800820	Pullman, WA	
27713662	6009254449	Bellevue, WA	
14999880	5451813935	Seattle, WA	
42787285	5636211406	Seattle, WA	
16835131	5869855161	Centralia, WA	
43704906	2713074601	Seattle, WA	
17883974	5183463091	Seattle, WA	
37008705	4750692973	Seattle, WA	
90366857	6345553929	Seattle, WA	
34005961	5934693934	Everett, WA	
17753056	5688825376	Seattle, WA	
15787280	2542049921	Lynnwood, WA	
14231102	5701720454	Seattle, WA	
17360263	3557316463	Seattle, WA	
19195286	5113248027	Seattle, WA	
14870085	5667692858	Spokane, WA	
15001375	4798750517	Poulsbo, WA	
18491026	4011190325	Seattle, WA	
82110332	5347591950	Seattle, WA	
19851342	6147310647	Issaquah, WA	
31254844	3464629789	Seattle, WA	
17224076	5488717990	Seattle, WA	
26320050	3999798832	Seattle, WA	
75557326	4112957940	Seattle, WA	
14608899	5484386307	Seattle, WA	
4123341	2354955364	Seattle, WA	
14609414	5605214590	Spokane, WA	
39906457	5767773179	Seattle, WA	
15264984	5687407504		
60663	5493176649	Seattle, WA	
47115822	5260590553	Seattle, WA	
17355378	6318779821	Seattle, WA	
66725923	4513240723	Maple Valley, WA	
19198169	6295199503	Seattle, WA	
36499713	5668044734	Arlington, WA	
4780301	1539250940	Seattle, WA	
35952616	2755591547	Lake Stevens, WA	
69179672	5333395379		
38728459	4874900563	Seattle, WA	
65991504	5865113091	Mountlake Terrace, WA	
17495203	3638125778	Seattle, WA	
18806200	6071586907	Seattle, WA	
90371558	6131450006	Seattle, WA	
23525005	5725190291	Seattle, WA	
67958500	5581411739	Renton, WA	
40171281	3947663370	Seattle, WA	
49084597	5802901986	Port Orchard, WA	
21440887	5808195653	Seattle, WA	
16132476	4320367401	Bellevue, WA	
76085488	5535713289	Kirkland, WA	
77003531	5423130549	Seattle, WA	
29916979	5310178934	Seattle, WA	
12516232	5811736217	Seattle, WA	
26541422	3609372394	Redmond, WA	
40533912	5028630347	Redmond, WA	
65339030	5733497229	Bremerton, WA	
22741229	5385907574	Seattle, WA	
37552408	5981713128	Vancouver, WA	
19742923	5461166369	Seattle, WA	
16188039	5305765158	Redmond, WA	
26280712	4931908237	Kirkland, WA	
17465482	5694838488	Renton, WA	
27667284	5670437968	Woodinville, WA	
25232518	1497711473	Olympia, WA	
34669725	5174734655	Bremerton, WA	
85394624	5983954848	Seattle, WA	
26281970	3769796679	Seattle, WA	
37947414	2612287645	Seattle, WA	
14400809	5632029360	Redmond, WA	
81726088	5527722158	Seattle, WA	
15403739	5580646302	Lakewood, WA	
16452377	5991860055	Seattle, WA	
4131861	5331310785	Seattle, WA	
27593806	1480470899	Bellevue, WA	
15535189	5201022949	Seattle, WA	
1248411	16377021	Seattle, WA	
7539892	5528585479	Seattle, WA	
69930221	5639014647	Seattle, WA	
14101812	5835816878	Seattle, WA	
84742003	5655180496	Vancouver, WA	
72814478	4885510103	Redmond, WA	
15023848	2559764932	Seattle, WA	
69668947	4818525373	Seattle, WA	
18027123	5868537925	Tacoma, WA	
15568612	5429172940	Spokane, WA	
47256508	5843613764	Seattle, WA	
12260572	5766698940	Kirkland, WA	
39392627	4879046906	Spokane, WA	
33101262	3993980561	Bellingham, WA	
45734142	5343089620	Seattle, WA	
46964609	5913030911	Kirkland, WA	
3479311	5671664917	Mountlake Terrace, WA	
69408606	4538181173	Tacoma, WA	
17242007	5694074910	Seattle, WA	
14751849	6101388341	Seattle, WA	
26810763	5510629695	Seattle, WA	
15014304	2832389862	Seattle, WA	
38869744	3281218638	Arlington, WA	
14359325	5582064055	Seattle, WA	
87104298	5867974000	Olympia, WA	
15932211	5499304868	Seattle, WA	
76446988	4813753038	Seattle, WA	
24845183	4881826898	Seattle, WA	
67312756	5799587722	Renton, WA	
39394555	4855024811	Bellingham, WA	
18030041	5712696295	Bellingham, WA	
15015405	5433570177	Redmond, WA	
798639	5402779566	Bellevue, WA	
22224470	5869105096	Kirkland, WA	
13835882	5851869013	Seattle, WA	
19603091	5434394175	Seattle, WA	
54232387	2764628968	Kirkland, WA	
59973561	5553266565	Olympia, WA	
66527173	5239680769	Seattle, WA	
19210213	5960108717	Bellevue, WA	
35332214	5009648844	Mill Creek, WA	
15492153	5333187336	Redmond, WA	
55255583	5446324934	Spokane, WA	
16986211	5511587703	Seattle, WA	
58925683	4586012876	Seattle, WA	
18817735	3750511130	Seattle, WA	
2900521	5051987392	Redmond, WA	
80159512	5259672283	Federal Way, WA	
74523	5062800392	Seattle, WA	
2171711	5897476363	Bellevue, WA	
68909532	3704684039	Vancouver, WA	
71377887	4922595007	Seattle, WA	
41231342	1974426957	Seattle, WA	
70004904	5614163337	Oak Harbor, WA	
18031652	2288622328	Bothell, WA	
19211335	3766142938	Sammamish, WA	
14754975	814974406	Vancouver, WA	
14886211	1955658936	Seattle, WA	
8070502	3121262402	Seattle, WA	
16388295	4616775590	Vancouver, WA	
16325818	5704660515	Redmond, WA	
26290251	5520509578	Bellevue, WA	
15804503	4829009582	Bothell, WA	
21178478	1530544542	Seattle, WA	
46827199	2714774912	Tacoma, WA	
17460610	1248540563	Seattle, WA	
15411512	4668809908	Issaquah, WA	
8071492	6019139238	Seattle, WA	
15935927	5566828198	Bainbridge Island, WA	
34102537	5829444324	Federal Way, WA	
8858172	3370803723	Seattle, WA	
21178955	5193800900	Seattle, WA	
20654731	5672618852	Lakewood, WA	
15671173	3775253395	Seattle, WA	
25111363	5522031757	Seattle, WA	
6630302	5086975460	Seattle, WA	
34417793	5876686329	Seattle, WA	
38497637	5501432728	Port Orchard, WA	
16985456	5775999215	Olympia, WA	
16565924	2558737214	Seattle, WA	
18558534	5658947493	Seattle, WA	
16199282	4320383290	Seattle, WA	
18296506	6346000238	Spokane, WA	
15413182	5474402829	Sammamish, WA	
13709302	4401489354	Seattle, WA	
28717784	1493091098	Kent, WA	
15937883	5669595056	Seattle, WA	
78066189	5238056669	Seattle, WA	
14977120	5432596339	Seattle, WA	
23671493	2341970372	Seattle, WA	
22885144	6242131332	Tacoma, WA	
12661782	5151662572	Seattle, WA	
38483047	5566461312	Seattle, WA	
90780801	6188934918	Seattle, WA	
15414763	5042763642	Seattle, WA	
4929431	2764048084	Seattle, WA	
18298804	2691095809	Spokane, WA	
33634534	5603156882	Seattle, WA	
61223979	4564015593	Tacoma, WA	
10944522	5401431158	Seattle, WA	
20734142	1339069043	Seattle, WA	
23149052	4295862143	Seattle, WA	
20396546	4528985198	Seattle, WA	
17644107	4556245729	Tacoma, WA	
29571801	1883774409	Seattle, WA	
67189650	4483417899	Seattle, WA	
4275221	6014222845	Seattle, WA	
15023153	4746737523	Seattle, WA	
43728256	5233224855	Seattle, WA	
24460731	6356296341	Seattle, WA	
24622973	4556516441	Seattle, WA	
32456502	6310967944	Redmond, WA	
15155074	4847268248	Seattle, WA	
16334724	5369412754	Redmond, WA	
45432798	5583767978	Seattle, WA	
36481395	5790530773	Bellingham, WA	
15024407	4658916402	Seattle, WA	
4276531	5603165929	Seattle, WA	
18563549	5518306851	Seattle, WA	
16073222	4930163592	Seattle, WA	
14605012	5930222890	Seattle, WA	
19219097	5985921877	Marysville, WA	
14893724	5817912288	Spokane, WA	
14344307	5460566079	Sammamish, WA	
14762678	5456474674	Seattle, WA	
20399004	5574933539	Seattle, WA	
15418533	5492322394	Redmond, WA	
46482828	2149526824	Seattle, WA	
20399508	5684114174	Seattle, WA	
55789070	5213069988	Seattle, WA	
69945068	3648981981	Seattle, WA	
66799378	5557803147	Seattle, WA	
16992028	5700343182	Renton, WA	
19744573	6167542241	Spokane, WA	
21317569	6224106884	Seattle, WA	
24332308	5568976704	Seattle, WA	
20504924	5940489166	Seattle, WA	
19613784	6017377888	Tacoma, WA	
15419731	6121710997	Spokane, WA	
69814623	5833107221	Seattle, WA	
28913392	5745160432	Seattle, WA	
39117758	5377283324	Seattle, WA	
20269751	5074021369	Seattle, WA	
39589125	5741528842	Seattle, WA	
2575461	6191628837	Seattle, WA	
22236279	5430467833	Camas, WA	
90067245	5749952519	Lacey, WA	
90262690	6073008269	Seattle, WA	
14896329	5930260667	Longview, WA	
78482674	5864148363	Battle Ground, WA	
21843390	5998957358	Seattle, WA	
9391582	6311939906	Seattle, WA	
74010101	4922677100	Seattle, WA	
24218879	5371825724	Issaquah, WA	
16338650	5287973735	Spokane, WA	
13192972	5838351681	Seattle, WA	
18960207	6036156477	Spokane, WA	
38942691	5299478953		
15290311	5173494499	Seattle, WA	
22499272	5950293034	Seattle, WA	
18305433	2931254785	Seattle, WA	
60248704	5643410655	Seattle, WA	
15365997	5367294506	Tacoma, WA	
19747646	5874310382	Seattle, WA	
61035458	5516687695	Kent, WA	
67720171	6070068491	Yakima, WA	
21058598	5535495647	Tumwater, WA	
30495974	5643203033	Seattle, WA	
63526212	3586575918	Seattle, WA	
12146202	5896507507	Seattle, WA	
73225908	6227774288	Seattle, WA	
64327288	5983793759	Seattle, WA	
6248212	5058851099	Seattle, WA	
15554563	5921424038	Seattle, WA	
14899204	5837058260	Seattle, WA	
15655971	3934820069	Spokane, WA	
58022196	5481977366	Seattle, WA	
16210328	5436336575	Lynnwood, WA	
2841151	5665761497	Redmond, WA	
15162193	5661601198	Seattle, WA	
16603994	5525851563	Yakima, WA	
15031140	6162394836	Spokane, WA	
26435048	3117331773	Seattle, WA	
26828292	5994385896	Seattle, WA	
77028956	4922681564	Seattle, WA	
19870300	1763066568	Seattle, WA	
14508426	6045949513	Seattle, WA	
14127192	5379992693	Seattle, WA	
76767928	5403008762	Seattle, WA	
47670014	5552750553	Bremerton, WA	
73229435	5185882511	Seattle, WA	
54748365	5605911202	Seattle, WA	
82518663	5652910567	Tacoma, WA	
9343192	5974063868	Vancouver, WA	
26830145	2363428703	Renton, WA	
17917453	6165911050	Ellensburg, WA	
23160354	5921763441	Kirkland, WA	
16869013	5622179316	Seattle, WA	
14903152	5681255080		
19752944	4645896455	Seattle, WA	
43214841	6058962588	Seattle, WA	
18704392	5374764117	Seattle, WA	
22996653	5538806131	Seattle, WA	
27198396	5887976209	Seattle, WA	
88030237	6000471111	Olympia, WA	
32205230	4743699219	Seattle, WA	
823615	5660738058	Seattle, WA	
66808758	3983699315	Seattle, WA	
19098877	6273345804	Seattle, WA	
52522863	5624127536	Spokane, WA	
14695748	5776586415	Bellevue, WA	
793219	5520594348	Redmond, WA	
83980426	5668966954	Kent, WA	
27970990	5203014344	Bellingham, WA	
88358270	5957652665	Spokane, WA	
15692103	4873327941	Seattle, WA	
15430305	5691027005	Seattle, WA	
38367959	5848174798	Spokane, WA	
39285600	5467535436	Spokane, WA	
71922550	6228030039	Seattle, WA	
82277240	5400867231	Yakima, WA	
20542372	5597880348	Seattle, WA	
71660792	4433242818	Seattle, WA	
75330884	5864780959	Bellevue, WA	
13333872	5160047483	Redmond, WA	
18052475	5778532537	Redmond, WA	
52975373	2802558808	Seattle, WA	
49714129	5043139837	Seattle, WA	
13989812	5514004548	Seattle, WA	
18315355	1805544716	Kirkland, WA	
17135828	4927196964	Bellevue, WA	
72448229	6420317584	Bellevue, WA	
59210191	5901116005	Seattle, WA	
19888631	4687721692	Seattle, WA	
15170087	5987835136	Seattle, WA	
41754227	5290145100	Redmond, WA	
15432351	5630896628	Kent, WA	
13990572	5660993965	Seattle, WA	
16480967	4634420437	Seattle, WA	
18447343	5431354753	Seattle, WA	
22495069	4970123732	Walla Walla, WA	
752743	5501687241	Vancouver, WA	
27744139	5837681033	Seattle, WA	
16815327	5426025654	Redmond, WA	
40992381	5800608291	Bremerton, WA	
25263812	5542110841	Seattle, WA	
7700182	3668839672	Redmond, WA	
63799454	5930823506	Seattle, WA	
29097179	5229051480	Bellevue, WA	
22014716	2457897415	Seattle, WA	
78463064	4928398589	Spokane, WA	
63837463	5472647270	Seattle, WA	
754731	5686052641	Bellevue, WA	
6653022	5080557301	Seattle, WA	
15257180	5932410810	Seattle, WA	
78218595	5399408298	Seattle, WA	
99723	5489672255	Seattle, WA	
15173109	4868159821	Seattle, WA	
14255705	5942549221	Vancouver, WA	
19498642	5462826746	Seattle, WA	
24741685	5662090357	Redmond, WA	
20416360	4993037057	Seattle, WA	
27756405	3378648273	Seattle, WA	
36145221	2879510978	Seattle, WA	
29591818	4360049695	Seattle, WA	
16877981	5801814868	Seattle, WA	
11372962	5645160485	Olympia, WA	
14565808	5881470004	Spokane, WA	
15174241	5456061760	Seattle, WA	
22645524	6015852514	Richland, WA	
48073585	5896283661	Bothell, WA	
14303746	3273900449	Seattle, WA	
20286608	6105184742	Seattle, WA	
30250881	5993284254	Seattle, WA	
62360880	5599917188	Seattle, WA	
17927796	5273237831	Seattle, WA	
32544703	5348372226	Bothell, WA	
14849984	5460638978	Bellevue, WA	
42962565	5493091371	Bellingham, WA	
44166450	5270776614	Bellevue, WA	
17010683	5993034097	Issaquah, WA	
22847312	5276961230	Washougal, WA	
54366730	3099011908	Kent, WA	
15831587	5027626777	Seattle, WA	
14783047	5698393156	Kirkland, WA	
17273497	5905542415	Spokane, WA	
71668450	4782086382	Seattle, WA	
93688613	6275067414	Seattle, WA	
21730147	5047108805	Pullman, WA	
21054284	5522191129	Washougal, WA	
17405062	6361660714	Spokane, WA	
69571814	5078000870	Kent, WA	
24614146	5979204458	Seattle, WA	
16356722	5398525502	Seattle, WA	
59872705	5571910244	Tacoma, WA	
85038864	6336484880	Seattle, WA	
759649	5514818598	Bothell, WA	
34838388	3917377973	Seattle, WA	
38749203	5151519193	Pullman, WA	
73635972	3998295331	Seattle, WA	
38901924	5255866621	Seattle, WA	
24353017	5682019854	Seattle, WA	
29858194	5671652925	Seattle, WA	
59414975	5370141359	Redmond, WA	
31490511	3369056338	Issaquah, WA	
6527972	5366891759	Seattle, WA	
70580647	5574277452	Seattle, WA	
29341823	3370097178	Bellingham, WA	
19373321	3903925710	Kennewick, WA	
16227750	5895985501	Seattle, WA	
14261812	5448525144	Seattle, WA	
20029104	6050337773	Seattle, WA	
3251921	5525790638	Seattle, WA	
39165704	6095973995	Tacoma, WA	
14917424	1664904842	Bremerton, WA	
29466425	4998082207	Seattle, WA	
17276732	4454374252	Seattle, WA	
20291590	5724342611	Seattle, WA	
23568914	5760978860	Sammamish, WA	
24093292	6411654959	Seattle, WA	
41002266	4569614690	Seattle, WA	
27108796	2621012679	Vancouver, WA	
28285883	5086437962	Bellingham, WA	
3778181	4042587577	Seattle, WA	
16230239	5595601443	Seattle, WA	
28551194	4359490099	Seattle, WA	
52853598	3940429516	Bellingham, WA	
22737278	5687947351	Seattle, WA	
