74585956	6191219088	YA: Fair and 59 F at Fullerton Municipal, CA Winds are Calm. The pressure is 1014.6 mb and the humidity is 46%.				Yorba Linda, California
19287919	5746546580	Capps will race Ashley Force Hood in semis. He has lane choice by 2 thousandths #nhrawf	2009-11-15 15:39:10				Yorba Linda, CA
19287919	5746476144	Ashley Force Hood wins. runs 4.146. Another Force daughter to the semis. Both Brittany and Courtney are in TAD semis #nhrawf	2009-11-15 15:36:11				Yorba Linda, CA
19287919	5746397718	Wilkerson great 4.11 to Hight's 4.36. Hight got loose at top end	2009-11-15 15:32:56				Yorba Linda, CA
19287919	5746338456	Robert Hight and Tim Wilkerson up in round 2 #nhrawf	2009-11-15 15:30:30				Yorba Linda, CA
19287919	5744171739	Neff upsets Head. All JFR Mustangs move into round two #nhrawf	2009-11-15 14:03:33				Yorba Linda, CA
19287919	5744002690	Force beats Densham 4.149 to 4.162 #nhrawf	2009-11-15 13:56:34				Yorba Linda, CA
19287919	5743995352	Tim Wilkerson will have lane choice over Hight in next round	2009-11-15 13:56:14				Yorba Linda, CA
19287919	5743920365	Hight wins pedalfest 4.842 to Toliver's 5.195 #nhrawf	2009-11-15 13:52:57				Yorba Linda, CA
19287919	5743869577	2009 FC World Champion Robert HIght up next with Jerry Toliver #nhrawf	2009-11-15 13:50:45				Yorba Linda, CA
19287919	5743849390	Ashley wins 4.24 to Bode's 4.46 #nhrawf	2009-11-15 13:49:52				Yorba Linda, CA
19287919	5743795849	Matt Hagan takes out Tony Pedregon. Tony was in 4th in points. Ashley Force Hood up next with Bob Bode #nhrawf	2009-11-15 13:47:31				Yorba Linda, CA
19287919	5743760328	Matt Hagan and Tony Pedregon up next. #nhrawf	2009-11-15 13:45:54				Yorba Linda, CA
19287919	5743752905	Wilk gets win 4.12 to Beckman's 4.14 #nhrawf	2009-11-15 13:45:34				Yorba Linda, CA
49580995	5779055124	Working on Little League strategic plan. So many competing priorities!	2009-11-16 17:13:07				Yorba Linda, CA
49580995	5759102439	@barbgran now you have a follower!	2009-11-16 00:49:32				Yorba Linda, CA
49580995	5696229017	@MarionChapsal Proof that we do read...and that would be very sad indeed.	2009-11-13 18:36:59				Yorba Linda, CA
49580995	5693184256	Heading out to teacher conference for the youngest of my three boys.	2009-11-13 16:35:09				Yorba Linda, CA
49580995	5693083607	@MarionChapsal That was great - message in a bottle. You made me smile too!	2009-11-13 16:31:12				Yorba Linda, CA
49580995	5693065521	It takes some courage to persist when you meet opposition because you have to somehow "know" that you are right.	2009-11-13 16:30:30				Yorba Linda, CA
49580995	5692520135	Decided at our Little League Board Meeting last night that we must create a strategic plan.	2009-11-13 16:09:04				Yorba Linda, CA
49580995	5687769678	@jeffbullas Thank you for a good read. http://bit.ly/4pk9UY	2009-11-13 13:02:46				Yorba Linda, CA
49580995	5687723748	Love the quote! RT @dahara: "If you are going through hell, keep going."	2009-11-13 13:01:05				Yorba Linda, CA
49580995	5673741897	I don't have much time for excuses. Everyone has them. Some people ignore them. Some people exalt them.	2009-11-13 01:10:29				Yorba Linda, CA
49580995	5655321720	RT @mashable STATS: Has Twitter Flatlined Just Short of Mainstream? http://bit.ly/xGdbb	2009-11-12 12:05:33				Yorba Linda, CA
49580995	5655283514	RT @mashable Twitter Retweets Temporarily Disabled http://bit.ly/4zpTVw	2009-11-12 12:03:59				Yorba Linda, CA
49580995	5653239901	@rgryan The abbreviation lb comes from the Latin word libra, meaning "scales, balances" (wikipedia)	2009-11-12 10:38:52				Yorba Linda, CA
49580995	5644246254	@jeffbullas Great blogging!	2009-11-12 02:10:20				Yorba Linda, CA
49580995	5642601523	@LeaderTalk how is that book Twitter Marketing for Dummies coming along?	2009-11-12 00:11:32				Yorba Linda, CA
49580995	5639187469	@JulieKayJKLD re: discrediting coaching - a real concern for executive coaches. And a negative impact on team effectiveness.	2009-11-11 21:24:05				Yorba Linda, CA
49580995	5638966155	RT @Rflectionldrshp: RT @mikehenrysr: The more "adequate" performance you tolerate, the more adequate you become. #BeOriginal	2009-11-11 21:14:45				Yorba Linda, CA
49580995	5638911539	If you love something, give it away. Paraphrased from Itay Talgram.	2009-11-11 21:12:28				Yorba Linda, CA
49580995	5629520821	@jabobo99 Good to see you here on Twitter! I'll send you some direct ideas about what to do next!	2009-11-11 15:15:55				Yorba Linda, CA
49580995	5613133985	Spent the evening teaching a Project Management class. Tonight's topics risk management and decision analytics...	2009-11-11 01:27:08				Yorba Linda, CA
49580995	5613109009	@sopogy  Thanks for clearing up the name ... I was wondering! :-)	2009-11-11 01:25:24				Yorba Linda, CA
49580995	5613074907	RT @TechCrunch Seesmic Desktop Adds Twitter Lists, Hits 3 Million Downloads http://bit.ly/42wzJ	2009-11-11 01:22:59				Yorba Linda, CA
49580995	5613057126	Are any third party apps (especially) iPhone supporting Lists yet?	2009-11-11 01:21:43				Yorba Linda, CA
49580995	5605242669	@JulieKayJKLD yes helpful - shows that people want to connect, not just brand or learn. Encouraging...	2009-11-10 18:57:50				Yorba Linda, CA
49580995	5599298292	#twitter has added a beta #retweet function.  It works but doesn't allow you to add to the message. :-(	2009-11-10 15:05:38				Yorba Linda, CA
49580995	5599173886	Gotta Believe! @loriforney	2009-11-10 15:00:45				Yorba Linda, CA
49580995	5596778391	Most leaders don't coach their followers because most leaders don't know HOW to coach.	2009-11-10 13:22:17				Yorba Linda, CA
49580995	5596627033	@3keyscoach Thanks for being so nice!	2009-11-10 13:15:50				Yorba Linda, CA
49580995	5596614488	@JulieKayJKLD did your research on personal vs topic focus balance yield interesting results?	2009-11-10 13:15:18				Yorba Linda, CA
49580995	5596397403	#Powerquestion If I could hold myself accountable, would I?	2009-11-10 13:06:10				Yorba Linda, CA
49580995	5596119194	RT@mfcauley In leadership seminar this week - Primal Leadership-"Nothing truly important is done alone."	2009-11-10 12:54:34				Yorba Linda, CA
49580995	5593631664	Nice article. RT @davidzinger Zen Habits: The shortest answer is doing... http://bit.ly/2qYQdw	2009-11-10 11:09:56				Yorba Linda, CA
49580995	5592953671	RT @Rflectionldrshp RT @MarkOOakes: Goal Achievement isn't conducive to 'Winging It'	2009-11-10 10:42:37				Yorba Linda, CA
49580995	5592909697	RT @iwisenet The harder you work, the harder it is to surrender.-V.Lombardi #quote http://iwise.com/6yVlT	2009-11-10 10:40:52				Yorba Linda, CA
49580995	5587399126	Great strategy session with a physician who will be bringing up a dialysis clinic in the Philippines. Introduced him to decision trees.	2009-11-10 06:35:05				Yorba Linda, CA
49580995	5587352690	RT @LMIIndia At least 50% of successful #leadership is about knowing when to get the heck out of the way (via @drewshearer) #quote	2009-11-10 06:32:26				Yorba Linda, CA
49580995	5564850643	Gorgeous Zen Room http://yfrog.com/iylm1vj	2009-11-09 12:11:28				Yorba Linda, CA
25738244	2833282411	Drowning & airway obstruction is the 2nd leading causes of death in young children-What Every Parent Should Know DVD~ www.savibaby.com	2009-07-25 00:35:33				Yorba Linda, CA
25738244	2833278323	25% off all Savi Baby products at www.savibaby.com Use coupon code: twitter	2009-07-25 00:35:14				Yorba Linda, CA
25738244	2820367351	Baby won't take their medicine? No problem...check out the medibottle at www.savibaby.com	2009-07-24 10:40:16				Yorba Linda, CA
25738244	2820327898	medibottle-medicine delivery system.Clinically proven #1 • BPA-Free. USA made. www.savibaby.com	2009-07-24 10:37:59				Yorba Linda, CA
25738244	2820241518	What Every Parent Should Know.  http://bit.ly/YCmdl	2009-07-24 10:32:58				Yorba Linda, CA
25738244	2792437724	Check this video out. Watch your baby take medicine like it's candy with Medibottle by Savi Baby http://bit.ly/3Rynx9	2009-07-22 23:25:38				Yorba Linda, CA
25738244	2773320760	25% off all Savi Baby products at www.savibaby.com Use coupon code: twitter	2009-07-22 00:55:39				Yorba Linda, CA
25738244	2749371182	Baby taking medicine? Learn how you can recieve a FREE medibottle. Just send an email to info@savibaby.com Subjuct line: FREE medibottle	2009-07-20 20:17:50				Yorba Linda, CA
25738244	2749185674	Check this video out -- Learn CPR steps with the Infant & Child CPR DVD in English & Spanish. http://bit.ly/YCmdl	2009-07-20 20:05:48				Yorba Linda, CA
25738244	2732728193	Check this video out. Watch your baby take medicine like it's candy with Medibottle by Savi Baby http://bit.ly/3Rynx9	2009-07-19 22:44:40				Yorba Linda, CA
25738244	2732449011	Baby taking medicine? Learn how you can recieve a FREE medibottle. Just send an email to info@savibaby.com Subjuct line: FREE medibottle	2009-07-19 22:24:37				Yorba Linda, CA
25738244	2695227515	Check this video out -- Learn CPR steps with the Infant & Child CPR DVD in English & Spanish. http://bit.ly/YCmdl	2009-07-17 15:55:48				Yorba Linda, CA
25738244	2683190953	Check this video out. Watch your baby take medicine like it's candy with Medibottle by Savi Baby http://bit.ly/3Rynx9	2009-07-17 00:00:31				Yorba Linda, CA
25738244	2680588626	Baby taking medicine? Learn how you can recieve a FREE medibottle. Just send an email to info@savibaby.com Subjuct line: FREE medibottle	2009-07-16 20:59:23				Yorba Linda, CA
25738244	2679792334	Got Twins? Promotes upright feeding while baby is in a car seat. Check out the Pacifeeder at http://tiny.cc/PK6XH MADE in USA!	2009-07-16 20:05:49				Yorba Linda, CA
25738244	2679200413	Baby taking medicine? Learn how you can recieve a FREE medibottle. Just send an email to info@savibaby.com Subjuct line: FREE medibottle	2009-07-16 19:25:59				Yorba Linda, CA
25738244	2679119312	30% off all Savi Baby products at www.savibaby.com Use coupon code: twitter	2009-07-16 19:20:39				Yorba Linda, CA
25738244	2679084600	Check this video out -- Learn CPR steps with the Infant & Child CPR DVD in English & Spanish. http://bit.ly/YCmdl	2009-07-16 19:18:22				Yorba Linda, CA
25738244	2679061726	Check this video out. Watch your baby take medicine like it's candy with medibottle by Savi Baby http://bit.ly/3Rynx9	2009-07-16 19:16:47				Yorba Linda, CA
25738244	2674557637	Check this video out - Watch your baby take medicine like it's candy with Medibottle by Savi Baby http://bit.ly/3Rynx9	2009-07-16 14:21:48				Yorba Linda, CA
25738244	2674224078	Baby taking medicine? Learn how you can recieve a FREE medibottle. Just send an email to info@savibaby.com Subjuct line: FREE medibottle	2009-07-16 14:00:41				Yorba Linda, CA
25738244	2673817938	Baby taking medicine?  Learn how you can recieve a FREE medibottle.				Yorba Linda, CA
25738244	2673652433	Got Twins?  Promotes upright feeding while baby is in a car seat. Check out the Pacifeeder at http://tiny.cc/PK6XH MADE in USA!	2009-07-16 13:24:02				Yorba Linda, CA
25738244	2673508948	30% off all Savi Baby products at www.savibaby.com Use coupon code: twitter	2009-07-16 13:14:53				Yorba Linda, CA
25738244	2661035738	Check this video out -- Learn CPR steps with the Infant & Child CPR DVD in English & Spanish http://bit.ly/YCmdl	2009-07-15 19:44:01				Yorba Linda, CA
25738244	2540638495	Check this video out. Watch your baby take medicine like it's candy with Medibottle by Savi Baby http://bit.ly/3Rynx9	2009-07-08 18:05:43				Yorba Linda, CA
25738244	2322895490	Check this video out -- Learn CPR steps with the Infant & Child CPR DVD in English & Spanish http://bit.ly/YCmdl	2009-06-25 01:29:38				Yorba Linda, CA
25738244	2322597769	Check out video -- Watch your baby take medicine like it's candy with Medibottle by Savi Baby http://bit.ly/3Rynx9	2009-06-25 00:54:29				Yorba Linda, CA
25738244	2316590786	Drowning & airway obstruction is the 2nd leading causes of death in young children-What Every Parent Should Know DVD~ www.savibaby.com	2009-06-24 16:28:37				Yorba Linda, CA
25738244	2316582562	medibottle-medicine delivery system.Clinically proven #1 • BPA-Free. USA made. www.savibaby.com or www.medibottle.com	2009-06-24 16:27:59				Yorba Linda, CA
25738244	2286802761	30% off all Savi Baby products at www.savibaby.com Use coupon code: twitter	2009-06-22 18:56:53				Yorba Linda, CA
25738244	2233209598	Drowning & airway obstruction is the 2nd leading causes of death in children-What Every Parent Should Know CPR DVD~ www.savibaby.com	2009-06-18 22:59:41				Yorba Linda, CA
25738244	1998747219	25% off all Savi Baby products at www.savibaby.com Use coupon code: twitter	2009-06-01 21:03:34				Yorba Linda, CA
25738244	1998704157	Drowning/airway obstruction is the 2nd leading causes of death in young children-What Every Parent Should Know http://tinyurl.com/cl5kur	2009-06-01 20:59:28				Yorba Linda, CA
25738244	1938557811	Check this video out -- Medibottle - In the media. Give your baby medicine without the upset. http://bit.ly/menUf	2009-05-27 13:39:33				Yorba Linda, CA
25738244	1864574102	Baby won't take their medicine? No problem...check out the medibottle at www.savibaby.com or www.medibottle.com	2009-05-20 17:52:17				Yorba Linda, CA
25738244	1864392359	25% off all Savi Baby products at www.savibaby.com Use coupon code: twitter	2009-05-20 17:32:28				Yorba Linda, CA
25738244	1615527215	Drowning & airway obstruction is the 2nd leading causes of death in young children-What Every Parent Should Know http://tinyurl.com/cl5kur	2009-04-25 16:01:20				Yorba Linda, CA
25738244	1615504481	25% off all Savi Baby products at www.savibaby.com Use coupon code: twitter	2009-04-25 15:58:17				Yorba Linda, CA
25738244	1615501820	medibottle-medicine delivery system. Clinically proven #1 • BPA-Free • USA made • Pediatrician Approved	2009-04-25 15:57:56				Yorba Linda, CA
25738244	5848417522	Drowning & airway obstruction is the 2nd leading causes of death in young children-What Every Parent Should Know DVD~ www.savibaby.com	2009-11-18 22:11:49				Yorba Linda, CA
25738244	5835750993	30% off all Savi Baby products at www.savibaby.com Use coupon code: twitter	2009-11-18 14:07:28				Yorba Linda, CA
25738244	4069605399	Drowning & airway obstruction is the 2nd leading causes of death in young children-What Every Parent Should Know DVD~ www.savibaby.com	2009-09-17 21:28:36				Yorba Linda, CA
25738244	3633565407	medibottle-medicine delivery system. Clinically proven #1 • BPA-Free • USA made • Pediatrician Approved	2009-08-29 17:35:54				Yorba Linda, CA
25738244	3633559707	Drowning & airway obstruction is the 2nd leading causes of death in young children-What Every Parent Should Know DVD~ www.savibaby.com	2009-08-29 17:35:31				Yorba Linda, CA
25738244	3571695755	medibottle-medicine delivery system. Clinically proven #1 • BPA-Free • USA made • Pediatrician Approved	2009-08-26 22:19:38				Yorba Linda, CA
25738244	3452173465	Drowning & airway obstruction is the 2nd leading causes of death in young children-What Every Parent Should Know DVD~ www.savibaby.com	2009-08-21 10:54:10				Yorba Linda, CA
25738244	3452164217	25% off all Savi Baby products at www.savibaby.com Use coupon code: twitter	2009-08-21 10:53:40				Yorba Linda, CA
25738244	3445073162	Baby won't take their medicine? No problem...check out the medibottle at www.savibaby.com or www.medibottle.com	2009-08-21 01:35:00				Yorba Linda, CA
25738244	3420732499	25% off all Savi Baby products at www.savibaby.com Use coupon code: twitter	2009-08-19 23:02:42				Yorba Linda, CA
25738244	3313466855	Would you do me a favor and help to feed a child for an entire week?  Please go to http://CompassionHappens.org/r/SaviBaby and make your ...	2009-08-14 14:07:56				Yorba Linda, CA
25738244	3312467548	Giveaway! The first 3 Daycares to respond, gets a FREE Inant and Child CPR DVD  www.savibaby.com	2009-08-14 13:14:11				Yorba Linda, CA
25738244	3311993774	Check this video out -CPR steps with the Infant & Child CPR DVD in English & Spanish  http://bit.ly/YCmdl	2009-08-14 12:49:12				Yorba Linda, CA
25738244	3311968545	Check this video out - Watch your baby take medicine like it's candy with Medibottle by Savi Baby http://bit.ly/3Rynx9	2009-08-14 12:47:51				Yorba Linda, CA
25738244	3311883136	Check this video out -- Medibottle - In the media. Give your baby medicine without the upset. http://bit.ly/menUf	2009-08-14 12:43:19				Yorba Linda, CA
25738244	3311830810	Baby won't take their medicine? No problem...check out the medibottle at www.savibaby.com or www.medibottle.com	2009-08-14 12:40:34				Yorba Linda, CA
25738244	3292788183	Baby won't take their medicine? No problem...check out the medibottle at www.savibaby.com	2009-08-13 15:04:43				Yorba Linda, CA
25738244	3279196310	Drowning & airway obstruction is the 2nd leading causes of death in young children-What Every Parent Should Know DVD~ www.savibaby.com	2009-08-12 22:21:35				Yorba Linda, CA
25738244	3255674992	25% off all Savi Baby products at www.savibaby.com Use coupon code: twitter	2009-08-11 19:44:18				Yorba Linda, CA
25738244	2926700173	Drowning & airway obstruction is the 2nd leading causes of death in young children-What Every Parent Should Know DVD~ www.savibaby.com	2009-07-30 02:57:55				Yorba Linda, CA
25738244	2834116525	Baby won't take their medicine? No problem...check out the medibottle at www.savibaby.com	2009-07-25 01:57:10				Yorba Linda, CA
25738244	2833384504	medibottle-medicine delivery system. Clinically proven #1 • BPA-Free • USA made • Pediatrician Approved	2009-07-25 00:44:18				Yorba Linda, CA
29814453	5187886338	My dad would be “green” with envy if no one showed up to his autograph session #fiestamovement	2009-10-26 19:31:23				Yorba Linda, CA
29814453	5187863014	Robert and Mike would be sad and “blue” if you didn’t get their autographs #fiestamovement	2009-10-26 19:30:21				Yorba Linda, CA
29814453	5187824302	Here are some more clues: Ashley would be tickled “pink” if you came to her autograph session #fiestamovement	2009-10-26 19:28:37				Yorba Linda, CA
29814453	5186939314	Have Ashley sign in the color of her Rookie of the Year car				Yorba Linda, CA
29814453	5186919520	Have my dad sign in the color of his 2009 firesuit				Yorba Linda, CA
29814453	5186904031	Come to autograph sessions and bring colored sharpies! #fiestamovement	2009-10-26 18:52:06				Yorba Linda, CA
29814453	5182158571	Make an APPEARANCE on www.johnforce.com for more info on last weeks clues! #fiestamovement	2009-10-26 15:37:26				Yorba Linda, CA
29814453	5110044278	3rd clue: 280 N. Gibson, Las Vegas, NV 89014 #fiestamovement	2009-10-23 18:34:03				Yorba Linda, CA
29814453	5109797743	2nd clue: 5445 Drexel Rd., Las Vegas, NV 89130 #fiestamovement	2009-10-23 18:22:14				Yorba Linda, CA
29814453	5109386624	1st clue for SEMA ticket giveaway: 60 N Decatur Blvd				Yorba Linda, CA
29814453	5105668739	Great chance to win SEMA tix http://bit.ly/18GM4E #fiestamovement	2009-10-23 15:11:23				Yorba Linda, CA
29814453	5037586688	ready to film my Ford Fiesta Mission video tomorrow! #fiestamovement	2009-10-21 00:19:06				Yorba Linda, CA
29814453	4851649529	out to dinner with my parents!	2009-10-13 21:13:33				Yorba Linda, CA
29814453	4823518452	got some hot chocolate and loving the cold Cali weather! #fiestamovement	2009-10-12 20:33:24				Yorba Linda, CA
29814453	4823367444	out of class early and craving sushi! excited to see the fam! #fiestamovement	2009-10-12 20:27:25				Yorba Linda, CA
29814453	4741974343	@DavidReed15 yes it is!	2009-10-09 14:04:17				Yorba Linda, CA
29814453	4741749035	Check out the music video my sister Ashley's in! http://bit.ly/1Z1I4x #fiestamovement	2009-10-09 13:54:02				Yorba Linda, CA
29814453	4676184943	Don't forget to check out my sister's diary! http://bit.ly/43Ryh #fiestamovement	2009-10-07 01:00:10				Yorba Linda, CA
29814453	4674043352	http://ow.ly/t55A #fiestamovement	2009-10-06 22:49:30				Yorba Linda, CA
29814453	4674020725	@rudy_ibanez Thanks!	2009-10-06 22:48:23				Yorba Linda, CA
29814453	4674015486	@prostock323 I think i avoided telling him about it... but im sure he will see it in the fiesta mission video.	2009-10-06 22:48:08				Yorba Linda, CA
29814453	4673985288	@IamCookiesMom No we only get the Fiesta for 6 months :(	2009-10-06 22:46:41				Yorba Linda, CA
29814453	4671676933	Dont forget to watch the video all the way to the end! I'd have to say this was one of my favs! http://bit.ly/Q4kaL	2009-10-06 21:05:23				Yorba Linda, CA
29814453	4671100478	Ford Fiesta Mission #5 video up! Leave some feedback! "Localize It" http://bit.ly/Q4kaL #fiestamovement	2009-10-06 20:43:03				Yorba Linda, CA
29814453	4567490750	Fiesta mission #5 video has been approved just have to fix one thing and I'll be able to put it up! (probably by tomorrow!) #fiestamovement	2009-10-02 19:32:04				Yorba Linda, CA
29814453	4505138099	at school then going to the shop to put my ford fiesta mission video together!! #fiestamovement	2009-09-30 14:36:00				Yorba Linda, CA
29814453	4481654950	accomplished a ton of homework. sitting in the fiesta with Britt until class starts then meeting our parents for dinner! #fiestamovement	2009-09-29 17:24:57				Yorba Linda, CA
29814453	4428215251	everyone turn espn2 on cuz the drag races are on!! #fiestamovement	2009-09-27 18:04:55				Yorba Linda, CA
29814453	4427882291	winners circle pics with Robert!! #fiestamovement	2009-09-27 17:48:50				Yorba Linda, CA
29814453	4418300695	just finished signing for the fans at the ropes... getting ready to warm my car up! #fiestamovement	2009-09-27 10:10:21				Yorba Linda, CA
