15990804	5485161964	Santa Monica, CA	
22519690	5860366174	Santa Monica, CA	
16248868	3722303804	Santa Monica, CA	
18325806	1279322319	Santa Monica, CA	
69342015	5894426706	Santa Monica, California		
18325505	1279008319	Santa Monica, CA	
35899246	6040954822	Santa Monica, CA	
36162924	5598645932	Santa Monica, CA	
28429722	4343630753	Santa Monica, CA	
17028101	5630617250	Santa Monica, CA	
14144985	5179780377	Santa Monica, CA	
24106519	5541885107	Santa Monica, CA	
52942679	5692680780		
19257466	5746439502	Santa Monica, CA	
39968005	5492291424	Santa Monica, CA	
60680530	5566624016	Santa Monica, CA	
14936567	5982799056	Santa Monica, CA	
16247502	4048290559	Santa Monica, CA	
14807469	5693719657	Santa Monica, CA	
56881888	5775501795	Santa Monica, California	
19789471	5642531520	Santa Monica, CA	
17907579	5028395459	Santa Monica, CA		
14715778	4060745320	Santa Monica, CA	
70342673	4032029303	Santa Monica, CA	
14171985	3902386583	Santa Monica, CA		
25374634	4112419148	Santa Monica, CA	
21706489	4364776379	Santa Monica, CA	
24413755	3970482415	Santa Monica, CA	
17106767	4024011733	Santa Monica, CA	
29792846	4008026077	Santa Monica, California	
40310167	4406239850	Santa Monica, CA	
52913164	4094024505	Santa Monica, CA	
61308972	4104033054	Santa Monica, CA		
20475306	3454971287	Santa Monica, CA	
66614713	3560528313	Santa Monica, CA	
15250896	4332784360	Santa Monica, CA	
26785793	4319719977	Santa Monica, CA	
37278608	4176974201	Santa Monica, California	
16391042	4140039158	Santa Monica, California	
14324893	4058602798	Santa Monica, California	
19570462	3596207955	Santa Monica, CA	
14101114	4070520922	Santa Monica, CA	
26961052	3938961990	Santa Monica, California	
75984611	4142533992	Santa Monica, CA	
47037874	3878515123	Santa Monica, CA	
48117858	3975379578	Santa Monica, CA	
16671992	4008376208	Santa Monica, CA	
55490157	4104118017	Santa Monica, CA	
24041141	4158000519	Santa Monica, CA		
25147347	3745894366	Santa Monica, CA	
